Language	advancedTongueRoot	anterior	approximant	back	click	consonantal	constrictedGlottis	continuant	coronal	delayedRelease	distributed	dorsal	epilaryngealSource	fortis	front	high	labial	labiodental	lateral	long	low	loweredLarynxImplosive	nasal	periodicGlottalSource	raisedLarynxEjective	retractedTongueRoot	round	short	sonorant	spreadGlottis	stress	strident	syllabic	tap	tense	tone	trill
sipakapense maya	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	+
camsá	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
pisamira	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	-	+	-	-	+	-	+	+	-	+	+	-	-	-	-
luvale	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
pangwa	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
tripuri	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
garo	-	-	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
kimeru	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	+
eloyi	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
ikalanga	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	-	-	+
diyari	-	+	+	+	-	+	-	+	+	-	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	-	+	+	-	-	+
wappo	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	-	-	-
balti	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	+	+	+	-	+	+	+	+	-	-
pokot	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
siar-lak	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	+
mmani	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
ndonga	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
epena pedee	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	+
darmiya	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
nivkh	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
waurá	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
kolami	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
ancash quechua (sihuas and corongo dialects)	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
mampruli	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
wapichana	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
aneityum; anejom̃	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
sukuma	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
apiaká	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
bagirmi	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
principense	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
pular 	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
iloko/ilocano	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
mishmi	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
mambila (cameroon)	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
lokpa 	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
bankon	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
kala lagaw ya	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
ao	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	-
kannada	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
au	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
kriyol	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
woisika	-	+	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
arabe	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	+	+	-	+	+	-	+	+	-	-	-	+
murinhpatha	-	+	+	+	-	+	-	+	+	-	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	-	+	+	+	-	+
gbaya (bossangoa, car)	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
gulmancema 	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	-
mbum	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
igo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
kpan	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
kwatay	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
bariba	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
ngombale	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
standard yiddish	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
shanga	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
aizi, tiagba	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
tatuyo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	-	+	-	-	+	-	+	+	-	+	+	+	-	-	+
monguor	-	+	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
ahlõ	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
songhoy	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
tariana	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
sherbro	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
southern ute; ute; ute-southern paiute	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	-	+	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
mixtec	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
buli	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	+
phlong	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
korafe	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
qawasqar	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	+	-	+	-	+	-	-	+	+	+	+	-	-
cwaya	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	-	-	+	+	+	+	-	+
gunwinggu	-	+	+	+	-	+	+	+	+	-	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	-	+	+	-	-	+
hadza	-	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	-	-	-
toura	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
socotri	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	+	-	-
oro win	-	-	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
kanga (kufa)	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
abulas	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	+
kaapor	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
vilela	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	+	-	-	-
tuparí	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
pirahã	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	-	+	-	-	+	-	+	+	-	+	+	-	-	-	-
mazateco	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
gbeya	-	-	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
baining	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
tolowa; tolowa-chetco	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	-	-	-
adang	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
awadhi	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
kunama	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
khmer	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
fɔn	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
kon̩d̩a or kubi	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
samo de toma	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
uwu	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
fan	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
avá-canoeiro	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
kikuyu	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
lisu	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
irish gaelic	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
fulfulde (fuunaangere)	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
bafo	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
washo	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
saliba	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	+
abidji	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
tem	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
!xun	-	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	+	+	+	-	+	+	-	+	+	-	-	-	-
mochica	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
chiricahua apache	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	+	-	+	-	+	+	-	+	+	-	-	-	-
tee	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
sango (caf)	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
tiwi	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	-	+	+	+	-	-
andoa	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
tiwa	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	+	-	+
telugu	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
marathi	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
waray	-	+	+	+	-	+	-	+	+	-	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	-	-	-	+	-	+	-	+
sui	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
tewa	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	+	-	+	-	+	+	-	+	+	+	+	-	-
tulishi	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
warao	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
acehnese	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
arandai	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	-	+	+	-	-	-
baga sitem	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
fipa	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
sursurunga	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
modern greek	-	-	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
roro	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	-	+	+	-	-	-
fwe	-	+	+	+	+	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
vietnamese	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
ollari	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	+
jauja-huanca quechua	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
ndogo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	-	-	+	+	+	+	-	+
tilquiapan zapotec	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
kinikinao	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
maba	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
burun	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
mapoyo	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
ndebele	-	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	-	-	-
alladian	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
tatana'; tatanaq; tatana	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	+
moru	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
moro	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	+
southern kiwai	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	-
euchee; yuchi	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	-	-	-
tlingit	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	+	-	+	-	+	-	-	+	+	-	-	-	-
aizi	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
bulgarian	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
lushai	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
kaiabi	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
koma	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	+	+	+	+	-	+	-	+	+	-	+	+	-	+	-	+
macuna	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
krinkati-timbira	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
kaingáng, são paulo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
komi	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
nzɛbi	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
tukang besi	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
komo	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	+	+	+	+	-	+	-	+	+	-	+	+	-	+	-	+
ida'an	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
rendille	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
anfillo	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	+	-	+	-	+	+	-	+	+	-	-	-	+
berta	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	+	-	+	+	+	+	+	-	+	-	+	+	-	+	+	-	-	-	+
noni	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
awa pit	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
aʔɨwa	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
kwami	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
soninke (kaedi (mrt))	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
bororo	-	+	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
ikwere	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
kwama	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	-	-	+
rigwe	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
lɔkɔ	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
south efate	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	+
mundang	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
cuiba	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
damana	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	+
dadibi	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
